NL 174:558:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Lange, Eduard~P:Lange, Eduard (Vetter Machs):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::20.04.1904::::Liberec~50.764444°, 15.046944°:3 S. hs.:::::C012::0
NL 174:1195:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fischer, G.~P:Fischer, G. (Dr.):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::21.02.1908::::Bamberg~49.891667°, 10.891667°:2 S. hs.:::::::0
NL 174:1196:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fischer, Gustav~118683675:Fischer, Gustav (Verlagsbuchhändler):118683675:83759-3:Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::14.06.1886:Gustav Fischer Verlagsbuchhandlung <Jena>~K:Gustav Fischer Verlagsbuchhandlung <Jena> s. Fischer, Gustav::Jena~50.927206°, 11.586361°:2 S. hs.:::::::1980
NL 174:1197:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fischer, Gustav~118683675:Fischer, Gustav:118683675:83759-3:Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::27.10.1886:Gustav Fischer Verlagsbuchhandlung <Jena>~K:Gustav Fischer Verlagsbuchhandlung <Jena> s. Fischer, Gustav::Jena~50.927206°, 11.586361°:2 S. hs.:::::::1980
NL 174:1198:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fischer, Gustav~118683675:Fischer, Gustav:118683675:83759-3:Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::08.05.1900:Gustav Fischer Verlagsbuchhandlung <Jena>~K:Gustav Fischer Verlagsbuchhandlung <Jena> s. Fischer, Gustav::Jena~50.927206°, 11.586361°:1 S. ms.:::::::1980
NL 174:1199:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fischer, Gustav~118683675:Fischer, Gustav:118683675:83759-3:Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::07.01.1901:Gustav Fischer Verlagsbuchhandlung <Jena>~K:Gustav Fischer Verlagsbuchhandlung <Jena> s. Fischer, Gustav::Jena~50.927206°, 11.586361°:2 S. hs.:::::::1980
NL 174:1200:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fischer, Gustav~118683675:Fischer, Gustav:118683675:83759-3:Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::27.04.1901:Gustav Fischer Verlagsbuchhandlung <Jena>~K:Gustav Fischer Verlagsbuchhandlung <Jena> s. Fischer, Gustav::Jena~50.927206°, 11.586361°:1 S. hs.:::::::1980
NL 174:1201:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fischer, Gustav~118683675:Fischer, Gustav:118683675:83759-3:Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::07.12.1901:Gustav Fischer Verlagsbuchhandlung <Jena>~K:Gustav Fischer Verlagsbuchhandlung <Jena> s. Fischer, Gustav::Jena~50.927206°, 11.586361°:1 S. ms.:::::::1980
NL 174:1202:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fischer, Gustav~118683675:Fischer, Gustav:118683675:83759-3:Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::20.10.1902:Gustav Fischer Verlagsbuchhandlung <Jena>~K:Gustav Fischer Verlagsbuchhandlung <Jena> s. Fischer, Gustav::Jena~50.927206°, 11.586361°:1 S. hs.:::::::1980
NL 174:1203:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fischer, Gustav~118683675:Fischer, Gustav:118683675:83759-3:Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::12.12.1902:Gustav Fischer Verlagsbuchhandlung <Jena>~K:Gustav Fischer Verlagsbuchhandlung <Jena> s. Fischer, Gustav::Jena~50.927206°, 11.586361°:1 S. ms.:::::::1980
NL 174:1204:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fischer, Gustav~118683675:Fischer, Gustav:118683675:83759-3:Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::20.06.1906:Gustav Fischer Verlagsbuchhandlung <Jena>~K:Gustav Fischer Verlagsbuchhandlung <Jena> s. Fischer, Gustav::Jena~50.927206°, 11.586361°:2 S. ms.:::::::1980
NL 174:1205:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fischer, Gustav~118683675:Fischer, Gustav:118683675:83759-3:Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::22.02.1911:Gustav Fischer Verlagsbuchhandlung <Jena>~K:Gustav Fischer Verlagsbuchhandlung <Jena> s. Fischer, Gustav::Jena~50.927206°, 11.586361°:1 S. ms.:::::::1980
NL 174:1206:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fischer, Gustav~118683675:Fischer, Gustav:118683675:83759-3:Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::08.06.1911:Gustav Fischer Verlagsbuchhandlung <Jena>~K:Gustav Fischer Verlagsbuchhandlung <Jena> s. Fischer, Gustav::Jena~50.927206°, 11.586361°:1 S. ms.:::::::1980
NL 174:1207:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fischer, Gustav~118683675:Fischer, Gustav:118683675:83759-3:Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::13.06.1911:Gustav Fischer Verlagsbuchhandlung <Jena>~K:Gustav Fischer Verlagsbuchhandlung <Jena> s. Fischer, Gustav::Jena~50.927206°, 11.586361°:2 S. ms.:::::::1980
NL 174:1208:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fischer, Gustav~118683675:Fischer, Gustav:118683675:83759-3:Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::23.11.1911:Gustav Fischer Verlagsbuchhandlung <Jena>~K:Gustav Fischer Verlagsbuchhandlung <Jena> s. Fischer, Gustav::Jena~50.927206°, 11.586361°:2 S. ms.:::::::1980
NL 174:1209:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fischer, Max~P:Fischer, M. (Schuldirektor):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::24.09.1892::::Mülhausen~47.748611°, 7.339444°:4 S. hs.:::::::0
NL 174:1210:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fischer, Max~P:Fischer, M.:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::14.02.1894::::Mülhausen~47.748611°, 7.339444°:3 S. hs.:::::::0
NL 174:1211:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fischer, Victor~137483961:Fischer, Victor:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::08.01.1906::::Darmstadt~49.866667°, 8.65°:2 S. hs.:::::::2013
NL 174:1212:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Sitte, Camillo~118797441:[Fitten?], Camillo (Staats-Gewerbeschule, Wien):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::29.06.1895:K.u.k. Staats-Gewerbeschule <Wien>~10081948-5:K.u.k. Staats-Gewerbeschule <Wien> s. Fitten, Camillo::Wien~48.20833°, 16.373064°:6 S. hs.:::::::1973
NL 174:1213:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Flournoy, Theodore~117514241:Flournoy, Theodore (Prof.):117514241::Mach, Ernst~118575767:Mach, Ernst:118575767::Karte:::26.12.1901::::Genf~46.200013°, 6.149985°:2 S. hs.:fre::::::1990
NL 174:1214:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Flournoy, Theodore~117514241:Flournoy, Theodore (Prof.):117514241::Mach, Ernst~118575767:Mach, Ernst:118575767::Karte:::28.01.1906::::Genf~46.200013°, 6.149985°:2 S. hs.:fre::::::1990
NL 174:1215:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Flournoy, Theodore~117514241:Flournoy, Theodore (Prof.):117514241::Mach, Ernst~118575767:Mach, Ernst:118575767::Karte:::06.07.1906::::Genf~46.200013°, 6.149985°:2 S. hs.:fre::::::1990
NL 174:1216:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fluß, Karl~P:Fluß, Karl:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::30.06.1894::::Wien~48.20833°, 16.373064°:4 S. hs.:::::::0
NL 174:1217:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Föppl, August~11663510X:Föppl, August:11663510X::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::04.04.1908::::München~48.136944°, 11.575278°:1 S. hs.:::::::1994
NL 174:1218:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Föppl, August~11663510X:Föppl, August:11663510X::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::04.02.1909::::München~48.136944°, 11.575278°:1 S. hs.:::::::1994
NL 174:1219:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Föppl, August~11663510X:Föppl, August:11663510X::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::11.02.1909::::München~48.136944°, 11.575278°:1 S. hs.:::::::1994
NL 174:1220:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Föppl, August~11663510X:Föppl, August:11663510X::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::17.12.1909::::München~48.136944°, 11.575278°:2 S. hs.:::::::1994
NL 174:1221:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Föppl, August~11663510X:Föppl, August:11663510X::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::11.01.1910::::München~48.136944°, 11.575278°:3 S. hs.::Blackmore/Hentschel 1985, S. 66f.:::::1994
NL 174:1222:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Föppl, August~11663510X:Föppl, August:11663510X::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::08.05.1910::::München~48.136944°, 11.575278°:1 S. hs.:::::::1994
NL 174:1223:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Föppl, August~11663510X:Föppl, August:11663510X::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::26.03.1912::::München~48.136944°, 11.575278°:1 S. hs.:::::::1994
NL 174:1224:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Forel, Auguste~118534327:Forel, Auguste:118534327::Mach, Ernst~118575767:Mach, Ernst:118575767::Karte:::10.09.1906::::Lausanne~46.516672°, 6.633324°:2 S. hs.:::::::2001
NL 174:1225:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Forel, Auguste~118534327:Forel, Auguste:118534327::Mach, Ernst~118575767:Mach, Ernst:118575767::Karte:::22.09.1906::::Chigny~46.519733°, 6.477217°:2 S. hs.:::::::2001
NL 174:1226:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Forel, Auguste~118534327:Forel, Auguste:118534327::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::27.09.1906::::Chigny~46.519733°, 6.477217°:2 S. ms.:::::::2001
NL 174:1227:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Forel, Auguste~118534327:Forel, Auguste:118534327::Mach, Ernst~118575767:Mach, Ernst:118575767::Karte:::04.10.1906::::Chigny~46.519733°, 6.477217°:2 S. ms. u. hs.:::::::2001
NL 174:1228:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Forel, Auguste~118534327:Forel, Auguste:118534327::Mach, Ernst~118575767:Mach, Ernst:118575767::Karte:::21.12.1911::::Yvorne~46.330832°, 6.96082°:2 S. hs.:::::::2001
NL 174:1229:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Forel, Auguste ~118534327:Forel, Auguste :118534327::Mach, Ernst~118575767:Mach, Ernst:118575767::Karte:::05.08.1912::::Yvorne~46.330832°, 6.96082°:2 S. ms. u. hs.::Thiele 1978, S. 221:::::2001
NL 174:1230:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Forel, Auguste~ 118534327:Forel, Auguste (Prof.):118534327::Mach, Ernst~118575767:Mach, Ernst:118575767::Karte:::25.06.1913::::Yvorne~46.330832°, 6.96082°:2 S. ms. u. hs.:::::::2001
NL 174:1231:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Forster, Edmund~117520888 :Forster, E. (Dr.):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::04.07.1906::::Berlin~52.518611°, 13.408056°:2 S. hs.:::::::2003
NL 174:1232:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Forster, Edmund~117520888:Forster, E. (Dr., Charité Berlin):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief::o.D.:::::Berlin~52.518611°, 13.408056°:4 S. hs.:::::::2003
NL 174:1233:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Forster, Edmund~117520888:Forster, E. (Dr.):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief::o.D.:::::Berlin~52.518611°, 13.408056°:3 S. hs.:::::::2003
NL 174:1234:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Franceschini, Robert~P:"Franceschini, Robert (Redakteur beim ""Neuen Wiener Tagblatt"")":::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::26.04.1895:Neues Wiener Tageblatt <Wien>~K:Neues Wiener Tageblatt <Wien> s. Franceschini, Robert::Wien~48.20833°, 16.373064°:1 S. hs.:::::::1971
NL 174:1235:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Franceschini, Robert~ P:Franceschini, Robert:::Mach, Ernst~118575767:Mach, Ernst:118575767::Karte:::23.11.1896:Neues Wiener Tageblatt <Wien>~ K:::Wien~48.20833°, 16.373064°:2 S. hs.:::::::1971
NL 174:1236:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Franceschini, Robert~ P:Franceschini, Robert:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief::o.D.::Neues Wiener Tageblatt <Wien>~ K:Neues Wiener Tageblatt <Wien> s. Franceschini, Robert::Wien~48.20833°, 16.373064°:3 S. hs.:::::::1971
NL 174:1237:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Frank, Philipp~116704306:Frank, Philipp (Dr.):116704306::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::13.06.1910:Universität <Wien>~ 2024703-5:Universität <Wien> s. Frank, Philipp::Wien~48.20833°, 16.373064°:3 S. hs.:::::::2036
NL 174:1238:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Frank, Philipp~116704306:Frank, Philipp (Dr.):116704306::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief::o.D. [1910?]:::::Wien~48.20833°, 16.373064°:2 S. hs.::Blackmore/Hentschel 1985, S. 82f.:::::2036
NL 174:1239:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Franz, Ferdinand~P:Franz, Ferdinand:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::28.11.1906::::Lünen-Brambauer~51.596111°, 7.442778°:4 S. hs.:::::::0
NL 174:1240:5. Korrespondenz:5.2. Allgemeine Korrespondenz:[Donati?]~P:Fratelli Bocca, Editori <Turin>:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::21.10.1897:Fratelli Bocca, Editori <Turin>~10150544-9 :Fratelli Bocca, Editori <Turin> s. Donati::Turin~45.066667°, 7.7°:2 S. hs.:fre::::::0
NL 174:1241:5. Korrespondenz:5.2. Allgemeine Korrespondenz:[Donati?]~P:Fratelli Bocca, Editori <Turin>:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::28.10.1897:Fratelli Bocca, Editori <Turin>~ 10150544-9:Fratelli Bocca, Editori <Turin> s. Donati::Turin~45.066667°, 7.7°:2 S. hs.:fre::::::0
NL 174:1242:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fred, Alfred W.~11674748X:Fred, Alfred W.:11674748X::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::22.04.1913:Zeit im Bild <München>~K:Zeit im Bild <München> s. Fred, Alfred W.::München~48.136944°, 11.575278°:1 S. ms.:::::::1992
NL 174:1243:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fred, Alfred W.~11674748X:Fred, Alfred W.:11674748X::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::22.08.1913::::München~48.136944°, 11.575278°:2 S. hs.:::::::1992
NL 174:1244:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fred, Alfred W.~11674748X:Fred, Alfred W.:11674748X::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief::28.02. (o.J.):::::Berlin~52.518611°, 13.408056°:1 S. hs.:::::::1992
NL 174:1245:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Frey, Max von~118955144:Frey, Max von:118955144::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::02.03.1888::::Leipzig~51.340333°, 12.37475°:3 S. hs.:::::::2002
NL 174:1246:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Frey, Max von~118955144:Frey, Max von:118955144::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::31.03.1893::::Leipzig~51.340333°, 12.37475°:1 S. hs.:::::::2002
NL 174:1247:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Frey, Max von~118955144:Frey, Max von:118955144::Mach, Ernst~118575767:Mach, Ernst:118575767::Karte:::27.05.1893::::Leipzig~51.340333°, 12.37475°:2 S. hs.:::::::2002
NL 174:1248:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Freytag, G.~P:Freytag, G. (Buchhändler)::5331009-3:Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::27.10.1892:F. Tempsky, Verlagsbuchhandlung <Wien>~5331006-8; G. Freytag, Verlagsbuchhandlung <Leipzig>~5331009-3:F. Tempsky, Verlagsbuchhandlung <Wien> s. Freytag, G.; G. Freytag, Verlagsbuchhandlung <Leipzig> s. Freytag, G.::Prag~50.083333°, 14.416667°:1 S. hs.:::::::0
NL 174:1249:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Freytag, G.~P:Freytag, [G?]:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::09.09.1892::::o.O.:3 S. hs.:::::::0
NL 174:1250:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fric, Josef~116788682:Fric, Josef (Instrumentenbauer):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::12.06.1899:Josef & Jan Fric, Fabrik für Messinstrumente <Prag>~K:Josef & Jan Fric, Fabrik für Messinstrumente <Prag> s.a. Fric, Josef Jan::Prag~50.083333°, 14.416667°:2 S. hs.:::::::2015
NL 174:1251:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fricke, H.~P:Fricke, H. (Dr.):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::11.03.1908::::Berlin-Charlottenburg~52.516667°, 13.3°:8 S. hs.:::::::0
NL 174:1252:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Friebel, Ludwig~P:Friebel, Ludwig:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::16.02.1908:Lese- und Redehalle der deutschen Studenten <Prag>~4704125-0:Lese- und Redehalle der deutschen Studenten <Prag> s. Friebel, Ludwig::Prag~50.083333°, 14.416667°:1 S. hs.:::::::0
NL 174:1253:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Klüpfel, Ludwig~ 1012279316; N.N.:Fried. Krupp Gussstahlfabrik <Essen>::510392-7:Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::27.06.1887:Fried. Krupp Gußstahlfabrik <Essen>~ 510392-7:Fried. Krupp Gussstahlfabrik <Essen> s. Klüpfel, Ludwig::Essen~51.458069°, 7.014761°:1 S. hs.:::::::1985
NL 174:1254:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Klüpfel, Ludwig~ 1012279316; N.N.:Fried. Krupp Gussstahlfabrik <Essen>::510392-7:Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::08.07.1887:Fried. Krupp Gußstahlfabrik <Essen>~ 510392-7:Fried. Krupp Gussstahlfabrik <Essen> s. Klüpfel, Ludwig::Essen~51.458069°, 7.014761°:1 S. hs.:::::::1985
NL 174:1255:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Gussmann, Wilhelm~1012268675; N.N.:Fried. Krupp Gussstahlfabrik <Essen>::510392-7:Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::10.08.1887:Fried. Krupp Gußstahlfabrik <Essen>~ 510392-7:Fried. Krupp Gussstahlfabrik <Essen> s. Gussmann, Wilhelm::Essen~51.458069°, 7.014761°:1 S. hs.:::::::1976
NL 174:1256:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Asthöwer, Fritz~135773059; N.N.:Fried. Krupp Gussstahlfabrik <Essen>::510392-7:Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::01.10.1887:Fried. Krupp Gußstahlfabrik <Essen>~ 510392-7:Fried. Krupp Gussstahlfabrik <Essen> s. Asthöwer, Fritz::Essen~51.458069°, 7.014761°:2 S. hs.:::::::1983
NL 174:1257:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Groß, Wilhelm~P:Fried. Krupp Gussstahlfabrik <Essen>::510392-7:Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::11.05.1889:Fried. Krupp Gußstahlfabrik <Essen>~ 510392-7:Fried. Krupp Gussstahlfabrik <Essen> s. Groß, Wilhelm::Essen~51.458069°, 7.014761°:1 S. hs.:::::::1978
NL 174:1258:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Groß, Wilhelm~ P; N.N.:Fried. Krupp Gussstahlfabrik <Essen>::510392-7:Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::25.05.1889:Fried. Krupp Gußstahlfabrik <Essen>~ 510392-7:Fried. Krupp Gussstahlfabrik <Essen> s. Groß, Wilhelm::Essen~51.458069°, 7.014761°:1 S. hs.:::::::1978
NL 174:1259:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Groß, Wilhelm~ P; Klüpfel, Ludwig~1012279316:Fried. Krupp Gussstahlfabrik <Essen>::510392-7:Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::17.03.1890:Fried. Krupp Gußstahlfabrik <Essen>~ 510392-7:Fried. Krupp Gussstahlfabrik <Essen> s. Groß, Wilhelm; Fried. Krupp Gussstahlfabrik <Essen> s. Klüpfel, Ludwig::Essen~51.458069°, 7.014761°:1 S. hs.:::::::1978
NL 174:1260:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fitting, Theodor~P; Groß, Wilhelm~ P:Fried. Krupp Gussstahlfabrik <Essen>::510392-7:Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::19.01.1892:Fried. Krupp Gußstahlfabrik <Essen>~ 510392-7:Fried. Krupp Gussstahlfabrik <Essen> s. Fitting, Theodor; Fried. Krupp Gussstahlfabrik <Essen> s. Groß, Wilhelm::Essen~51.458069°, 7.014761°:1 S. ms.:::::::1978
NL 174:1261:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Frimmel von Traisenau, Theodor~101069456:Frimmel von Traisenau, Theodor (Dr.):101069456::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::22.12.1896::::Wien~48.20833°, 16.373064°:3 S. hs.:::::::1998
NL 174:1262:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Frimmel von Traisenau, Theodor~101069456:Frimmel von Traisenau, Theodor (Dr.):101069456::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::10.01.1897::::Wien~48.20833°, 16.373064°:3 S. hs.:::::::1998
NL 174:1263:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Frimmel von Traisenau, Theodor~101069456:Frimmel von Traisenau, Theodor (Dr.):101069456::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::29.01.1898::::Wien~48.20833°, 16.373064°:4 S. hs.:::::::1998
NL 174:1264:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Frischeisen-Köhler, Max~118693700:Frischeisen-Köhler, Max (Dr.):118693700::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::02.11.1906::::Berlin~52.518611°, 13.408056°:1 S. ms.:::::::1993
NL 174:1265:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fritsch, Karl~11769374X:Fritsch, Karl:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::21.05.1900:Karl Fritsch vorm. Prokesch, k.u.k. priv. optische und mechanische Präcisionswerkstätte <Wien>~16171171-6:Karl Fritsch vorm. Prokesch, k.u.k. priv. optische und mechanische Präcisionswerkstätte <Wien> s. Fritsch, Karl::Wien~48.20833°, 16.373064°:4 S. hs.:::::::1996
NL 174:1266:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fritsch, Karl~ 11769374X:Fritsch, Karl:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::17.10.1911::::Wien~48.20833°, 16.373064°:2 S. hs.:::::::1996
NL 174:1267:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fritsch, Karl Wilhelm Georg von~116825324:Fritsch, Karl von:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::15.07.1895::::Halle (Saale)~51.482778°, 11.97°:3 S. hs.:::Notizen zu Wissenschaftlern (1 Bl. hs.)::::1976
NL 174:1268:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fritsch, Karl Wilhelm Georg von~116825324:Fritsch, Karl von:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::09.02.1897::::Halle (Saale)~51.482778°, 11.97°:1 S. hs.:::::::1976
NL 174:1269:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fröhlich, Richard~P:Fröhlich, Richard (Dr., Augenarzt):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::22.06.1902::::Wien~48.20833°, 16.373064°:4 S. hs.:::::::1996
NL 174:1270:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fröhlich, Richard~P:Fröhlich, Richard (Dr.):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::14.11.1907::::Wiener Neustadt~47.816667°, 16.25°:1 S. hs.:::::::1996
NL 174:1271:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fröhlich, Richard~P:Fröhlich, Richard (Dr.):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::13.06.1908::::Wiener Neustadt~47.816667°, 16.25°:2 S. hs.:::::::1996
NL 174:1272:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fröhlich, Richard~P:Fröhlich, Richard (Dr.):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::12.02.1911::::Wiener Neustadt~47.816667°, 16.25°:2 S. hs.:::::::1996
NL 174:1273:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Frölich, Oskar~117538531:Frölich, C. (Dr.):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::15.07.1887::::Berlin~52.518611°, 13.408056°:1 S. hs.:::::::1979
NL 174:1274:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fuchs, Theodor~117540056:Fuchs, Th.:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::20.03.1908::::Wien~48.20833°, 16.373064°:3 S. hs.:::::::1995
NL 174:1275:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Füchtbauer, Georg~116845430:Füchtbauer, Georg:116845430::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::26.11.1894::::Nürnberg~49.452778°, 11.077778°:3 S. hs.:::::::1976
NL 174:1276:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Fürstenberg, Maximilian Egon Fürst zu~116847034:Fürstenberg, Maximilian Egon Fürst zu:116847034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::51911::::Wien~48.20833°, 16.373064°:1 S. hektogr.:::::::2011
NL 174:1277:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Gach, Friedrich~P:Gach, Friedrich (Dr.):::Mach, Ernst~118575767:Mach, Ernst:118575767::Telegramm:::18.02.1908::::Althofen~46.866667°, 14.466667°:1 S. ms.:::::::0
